"Var.1","06_18-Ray-GS-b3","06_18-Ray-G-c5","06_18-Fro-GS-a1","05_07_18-SenV-a7","05_07_18-Ger-a5","05_07_18-OrgeS-a5","05_07_18-Patur-a5","03_18-Soi-S-b2","05_07_18-Patur-a6","05_07_18-Patur-a4","06_18-Fro-GS-c3","05_07_18-Patur-a3","06_18-Fro-G-b3","05_07_18-SenV-a4","05_07_18-Patur-a7","06_18-Ray-GS-c5","05_07_18-OrgeS-a4","06_18-Ray-GS-a3","05_07_18-Ger-a4","06_18-Fro-GS-c4","06_18-Fro-GS-a3","06_18-Ray-G-b5","06_18-Cel-S-c2","06_18-Ray-G-a2","06_18-Ray-G-c4","06_18-Ray-GS-c4","06_18-Ray-G-a5","05_07_18-Ger-a3","06_18-Fro-GS-b1","05_07_18-PLaL-a3","06_18-Soi-GS-c2","06_18-Fro-GS-b3","06_18-Ray-G-b3","05_07_18-Ger-a2","06_18-Cel-GS-c5","06_18-Apa-GS-c2","05_07_18-OrgeS-a6","03_18-Soi-S-c3","06_18-Fro-G-a5","06_18-Fro-G-a2","06_18-Fro-GS-a5","06_18-Apa-S-c3","06_18-Soi-GS-c3","06_18-Apa-GS-c5","06_18-Apa-GS-c3","05_07_18-SenV-a5","05_07_18-SenV-a2","06_18-Fro-G-c3","05_07_18-OrgeS-a3","06_18-Apa-GS-c4","06_18-Soi-S-b1","06_18-Cel-S-c5","06_18-Cel-GS-c1","06_18-Fro-GS-a2","06_18-Cel-S-b1","06_18-Soi-S-c4","06_18-Soi-GS-c4","05_18-Apa-S-c4","05_07_18-PLaL-a7","05_07_18-Patur-a2","06_18-Cel-S-c3","06_18-Ray-GS-a2","05_07_18-PLaL-a6","05_07_18-OrgeS-a7","06_18-Cel-S-a2","03_18-Soi-GS-c3","06_18-Ray-GS-a4","06_18-Soi-S-b2","06_18-Cel-S-b4","03_18-Apa-S-b1","06_18-Cel-S-b5","06_18-Ray-GS-c2","06_18-Apa-GS-a1","03_18-Soi-S-c4","06_18-Fro-G-a4","06_18-Cel-GS-c3","06_18-Ray-G-a3","06_18-Cel-S-c4","06_18-Apa-GS-c1","06_18-Ray-GS-a5","06_18-Cel-GS-c4","06_18-Fro-G-a3","06_18-Apa-S-a1","06_18-Cel-S-a4","03_18-Soi-GS-c4","03_18-Cel-S-c2","06_18-Apa-GS-a2","06_18-Cel-GS-c2","06_18-Soi-GS-c1","03_18-Cel-S-b2","06_18-Ray-GS-b5","06_18-Apa-S-b3","03_18-Cel-S-c4","06_18-Apa-S-a2","05_18-Apa-S-b2","06_18-Ray-GS-c3","06_18-Cel-GS-b3","06_18-Cel-GS-b2","06_18-Apa-S-a3","05_07_18-PLaL-a2"
635,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,15,16,69,0,0,0,0,0,0,0,0,0,0,10,72,0,0,8,122,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,9,0,0,0,106,0,0,0,0,24,0,0,0,14,0,41,0,0,0,0,0,0,12,19,0,0,3220,0,0,36,0,0,0,0,0,0,0,0,25,54,0,0,40,0,0,0,0,0,0
1151,0,0,0,0,0,0,0,248,0,0,0,0,139,37,0,0,0,0,58,0,0,0,0,0,29,18,0,39,0,0,0,0,0,0,0,0,104,129,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,253,0,0,0,341,0,63,0,320,0,0,0,0,0,135,0,0,0,0,56,185,0,0,0,934,61,0,409,0,31,0,0,0,0,0
1097,9,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,377,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,277,0,0,970,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,56,38,296,14,39,0,10,0,0,0,0,0,0,0,0,0,0,16,42,0,36,0,0,0,0,22,0,0,0,0,0,0,61,10,0,0,164,0,130,32,0,0,0,0,2866,20,198,0,141,0,0,0,0,0,0,0,0,0,0,0,0,312,0,12,0,0,0,0,0,222,0,35,0,8,75,0,72,0,0,44,0,0,0,0,0,156,0,0,0,0,31,0,222,0,51,26,0,0,0,5
708,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,32,4,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0
1373,0,9,49,65,128,0,561,11,291,2136,11,1100,247,369,529,0,0,1206,154,10,32,0,0,415,118,428,417,110,0,20,536,0,36,19,0,0,445,0,0,30,34,0,0,0,0,109,45,34,223,0,0,0,0,47,0,0,27,0,15,176,0,24,0,70,0,7,48,0,0,0,0,205,0,0,56,0,145,0,0,57,0,0,0,0,5,0,0,0,0,0,33,0,0,0,0,81,0,0,0,0
1219,0,332,81,53,126,0,0,0,46,0,25,0,0,168,0,0,0,0,71,0,37,0,0,0,0,245,31,34,0,0,369,0,86,46,859,0,151,0,0,0,0,466,260,0,0,74,124,0,0,0,59,0,0,0,0,705,566,0,0,0,312,203,30,0,0,14,0,330,53,0,2104,74,0,0,42,0,0,0,0,172,46,0,90,0,0,49,0,0,85,212,124,322,21,0,0,40,0,0,30,0
1305,0,76,0,0,142,7,92,53,252,790,981,475,75,6,1016,0,0,0,135,346,85,0,0,87,84,96,31,45,218,73,0,205,5,425,0,5,124,0,0,331,451,7,0,0,0,0,8,52,82,714,0,0,0,1911,0,0,0,0,128,276,0,54,109,71,0,6,0,9,0,0,0,30,0,71,76,0,55,0,0,8,0,58,0,0,6,11,0,0,20,0,0,0,18,0,0,0,0,0,0,32
1053,51,0,25,0,69,0,0,163,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,35,0,0,0,766,0,0,0,74,0,0,0,0,0,24,0,0,0,0,0,347,0,0,0,624,0,0,1081,0,0,0,0,0,0,0
